Minister ,Date of Hospitality,Name of Organisation,Type of hospitality received
,,,
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP ",06-Sep-2010,Sky News ,Lunch 
,13-Sep-2010,CBI Public Services Strategy Board ,Dinner 
,27-Sep-2010,Daily Mail ,Lunch 
,28-Sep-2010,Barclays ,Lunch 
,30-Sep-2010,BBC ,Lunch 
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",17-Aug-2010,The Times ,Lunch 
,23-Aug-2010,The Economist ,Lunch 
,24-Aug-2010,Independent Challenge Group ,Breakfast 
,25-Aug-2010,Royal Bank of Scotland ,Lunch 
,08-Sep-2010,Financial Reporting Council ,Dinner 
,16-Sep-2010,Michael Portillo ,Breakfast 
"Minister without Portfolio, The Rt Hon Baroness Warsi ",14-Aug-2010,Kabana Restaurant ,Dinner 
,12-Sep-2010,Yorkshire Cricket Club ,Dinner 
,14-Sep-2010,Office of the Chief Rabbi ,Dinner 
,18-Sep-2010,HSBC ,Dinner 
,19-Sep-2010,Seamark ,Dinner 
" Does not normally include attendance at functions hosted by HM Government; 'diplomatic' functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined ",,,
