Minister,Date of Trip,Destination,Purpose,"Scheduled, 'No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Prime Minister, The Rt Hon David Cameron MP",22 – 25/01/2013,Davos (Switzerland),To attend the World Economic Forum and for bilateral meetings,No32 (The Royal) Squadron,13,"£1,395"
,30/01 – 01/02/2013,"Algiers (Algeria), Tripoli (Libya), Monrovia (Liberia)",To attend a meeting of the High Level Panel and for bilateral meetings,Chartered,12,"£209,353.53"
,07 – 08/02/2013,Brussels (Belgium),To attend a meeting of the European Council,No32 (The Royal) Squadron,13,£309
,17 – 20/02/2013,"Mumbai, Delhi, Amritsar (India)",Overseas trade mission and bilateral meetings,Chartered,32,"£53,744.50"
,27 – 28/02/2013,Riga (Latvia),To attend the Northern Future Form,No32 (The Royal) Squadron,6,"£1,421"
,14 – 15/03/2013,Brussels (Belgium),To attend a meeting of the European Council,No32 (The Royal) Squadron,9,£981
,,,,,,
,,,,,,
, ,,,,,
